BlockchainID,Symbol,Name,IsShownInTradingPair,IsForPreferredOption
196,NTY,Nexty,0,0
197,VEX,Vexanium,0,0
198,NIM,Nimiq,0,0
199,BC,Bitcoin Confidential,0,0
200,ZUM,ZumCoin,0,0
201,ONION,DeepOnion,0,0
202,MRX,Metrix Coin,0,0
203,TTN,Titan Coin,0,0
204,VIN,VINchain,0,0
205,BST,BlockStamp,0,0
206,TPAY,TokenPay,0,0
207,BTN,BitNewChain,0,0
208,PAC,PAC Global,0,0
209,OK,OKCash,0,0
210,GLC,GoldCoin,0,0
211,IMG,ImageCoin,0,0
212,ECC,ECC,0,0
213,TUBE,BitTube,0,0
214,XLQ,ALQO,0,0
215,PGN,Pigeoncoin,0,0
216,QRK,Quark,0,0
217,BBR,Boolberry,0,0
218,LBC,LBRY Credits,0,0
219,MINT,MintCoin,0,0
220,ZPT,Zeepin,0,0
221,ZCL,ZClassic,0,0
222,XSPEC,Spectrecoin,0,0
223,SDA,SDChain,0,0
224,XFC,Footballcoin,0,0
225,CLO,Callisto Network,0,0
226,ADS,Adshares,0,0
227,DMD,Diamond,0,0
228,RBY,Rubycoin,0,0
229,HPC,Happycoin,0,0
230,ENQ,Enecuum,0,0
231,DCT,DECENT,0,0
232,FAIR,FairCoin,0,0
233,NSD,Nasdacoin,0,0
234,HTML,HTMLCOIN,0,0
235,PHR,Phore,0,0
236,ZP,Zen Protocol,0,0
237,DYN,Dynamic,0,0
238,CHAT,ChatCoin,0,0
239,RADS,Radium,0,0
240,MCASH,Mcashchain,0,0
241,SIN,SINOVATE,0,0
242,GAME,GameCredits,0,0
243,3DC,3DCoin,0,0
244,XCASH,X-CASH,0,0
245,BEET,Beetle Coin,0,0
246,IOC,I/O Coin,0,0
247,XMY,Myriad,0,0
248,POT,PotCoin,0,0
249,XPD,PetroDollar,0,0
250,LUX,LUXCoin,0,0
251,MOON,Mooncoin,0,0
252,MGD,MassGrid,0,0
253,BITB,Bean Cash,0,0
254,TRTL,TurtleCoin,0,0
255,FAB,Fast Access Blockchain,0,0
256,GRC,GridCoin,0,0
257,BITG,BitGreen,0,0
258,N8V,NativeCoin,0,0
259,VRC,VeriCoin,0,0
260,QWC,Qwertycoin,0,0
261,VIPS,Vipstar Coin,0,0
262,UT,Ulord,0,0
263,SINS,SafeInsure,0,0
264,SAFE,SafeCoin,0,0
265,CLOAK,CloakCoin,0,0
266,EXP,Expanse,0,0
267,XHV,Haven Protocol,0,0
268,CRW,Crown,0,0
269,BIS,Bismuth,0,0
270,CURE,Curecoin,0,0
271,COTI,COTI,0,0
272,SEM,Semux,0,0
273,BCO,BridgeCoin,0,0
274,SHIFT,Shift,0,0
275,CRYP,CrypticCoin,0,0
276,SSC,SelfSell,0,0
277,ERG,Ergo,0,0
278,ORB,Orbitcoin,0,0
279,SPHR,Sphere,0,0
280,IFC,Infinitecoin,0,0
281,PASC,Pascal,0,0
282,EFL,e-Gulden,0,0
283,SLR,SolarCoin,0,0
284,CBC,Cashbery Coin,0,0
285,42,42-coin,0,0
286,QAC,Quasarcoin,0,0
287,BCA,Bitcoin Atom,0,0
288,XPC,eXPerience Chain,0,0
289,MUE,MonetaryUnit,0,0
290,ADM,ADAMANT Messenger,0,0
291,RPD,Rapids,0,0
292,SIB,SIBCoin,0,0
293,MIC,Mindexcoin,0,0
294,ACM,Actinium,0,0
295,TRC,Terracoin,0,0
296,THC,HempCoin,0,0
297,VRA,Verasity,0,0
298,NYC,NewYorkCoin,0,0
299,NBOT,Naka Bodhi Token,0,0
300,CCX,Conceal,0,0
301,NBAI,Nebula AI,0,0
302,LABH,Labh Coin,0,0
303,RVR,RevolutionVR,0,0
304,SEN,Sentient Coin,0,0
305,WEBD,WebDollar,0,0
306,SIC,Swisscoin,0,0
307,XEL,XEL,0,0
308,OMNI,Omni,0,0
309,XHI,HiCoin,0,0
310,ZER,Zero,0,0
311,SMLY,SmileyCoin,0,0
312,BCI,Bitcoin Interest,0,0
313,BTCZ,BitcoinZ,0,0
314,BTCP,Bitcoin Private,0,0
315,XBC,Bitcoin Plus,0,0
316,AUR,Auroracoin,0,0
317,LUNES,Lunes,0,0
318,NVC,Novacoin,0,0
319,USNBT,NuBits,0,0
320,DIME,Dimecoin,0,0
321,NLC2,NoLimitCoin,0,0
322,TRTT,Trittium,0,0
323,BBP,BiblePay,0,0
324,HEAT,HEAT,0,0
325,ESBC,ESBC,0,0
326,TELOS,Teloscoin,0,0
327,DBIX,DubaiCoin,0,0
328,DEEX,DEEX,0,0
