ProviderID,Name,SiteURL
174,CoinSpot,https://www.coinspot.com.au
175,Coinsquare,https://coinsquare.io
176,Coinsuper,https://www.coinsuper.com
177,CoinSwitch,https://coinswitch.co
178,CoinTiger,https://www.cointiger.pro
179,Coinut,https://coinut.com
180,CoinZest,https://www.coinzest.co.kr
181,CoolCoin,https://coolcoin.com
182,COSS,https://www.coss.io
183,Covesting,https://covesting.io
184,COXI,https://coxi.io
185,C-Patex,https://c-patex.com
186,CPDAX,https://www.cpdax.com
187,Cratex,https://cratex.io
188,CredoEx,https://credoex.com
189,Crex24,https://crex24.com
190,CRXzone,https://www.crxzone.com
191,CryptalDash,https://www.cryptaldash.com
192,Cryptoa,https://www.cryptoa.com
193,CryptoBridge,https://crypto-bridge.org
194,Cryptohub,https://cryptohub.online
195,Cryptology,https://cryptology.com
196,CryptoMarket,https://www.cryptomkt.com
197,Cryptomate,https://cryptomate.co.uk
198,Cryptonex,https://cryptonex.org
199,CryptoNick,https://cryptonick.exchange
200,Cryptopia,https://cryptopia.co.nz
201,Cryptoplanex,https://cryptoplanex.com
202,Cryptox,https://cryptox.pl
203,Dach Exchange,https://dach.exchange
204,Darb Finance,https://darbfinance.com
205,DCExchange,https://dcexe.com
206,Dcoin,https://www.dcoin.com
207,DDEX,https://ddex.io
208,DEEX,https://deex.exchange
209,DFLOW,https://dflowx.com
210,Dgtmarket,https://exchange.dgtmarket.com
211,DigiFinex,https://www.digifinex.com
212,Digitalprice,https://digitalprice.io
213,DOBI,https://www.dobiexchange.com
214,DragonEX,https://dragonex.io
215,DSX,https://dsx.uk
216,Einax,https://einax.com
217,Enmanet,https://www.enmanet.com
218,Escodex,https://escodex.com
219,EtherDelta,https://etherdelta.com
220,EtherMium,https://ethermium.com
221,Ethex,https://ethex.market
222,Ethfinex,https://www.ethfinex.com
223,EX24,https://ex24.io
224,EXC Cripto,https://exccripto.com
225,EXMO,https://exmo.com
226,Exrates,https://exrates.me
227,ExtStock,https://extstock.com
228,EXX,https://exx.com
229,ezBtc,https://www.ezbtc.ca
230,Fargobase,https://fargobase.com
231,Fatbtc,https://fatbtc.com
232,FCoin,https://www.fcoin.com
233,fex,https://fexpro.net
234,FINEXBOX,https://www.finexbox.com
235,Fisco,https://fcce.jp
236,Float SV,https://www.floatsv.com
237,ForkDelta,https://forkdelta.app
238,Foxbit,https://foxbit.com.br
239,FreiExchange,https://freiexchange.com
240,FYB-SE,https://www.fybse.se
241,FYB-SG,https://www.fybsg.com
242,Gate.io,https://gate.io
243,Gatecoin,https://gatecoin.com
244,Gatehub,https://gatehub.net
245,GBX Digital Asset Exchange,https://exchange.gbx.gi
246,GDAC,https://www.gdac.co.kr
247,GDAX,https://gdax.com
248,Gemini,https://gemini.com
249,GetBTC,https://getbtc.org
250,Globitex,https://globitex.com
251,Gopax,https://gopax.co.kr
252,GOZO,https://gozo.pro
253,Graviex,https://graviex.net
254,Guava,https://guava.africa
255,GuldenTrader,https://guldentrader.com
256,Hanbitco,https://www.hanbitco.com
257,HitBTC,https://hitbtc.com
258,Hotbit,https://www.hotbit.io
259,HOTDEX,https://wallet.hotdex.eu
260,Hubi,https://www.hubi.com
261,Huobi,https://huobipro.com
262,Huobi Korea,https://www.huobi.co.kr
263,Huobi US (HBUS),https://www.huobi.com
264,iCoinbay,https://www.icoinbay.com
265,IDAX,https://www.idax.pro
